chat_date,chat_hour,chat_minute,user,comment
2014-06-03,18,8,sesuncedu,"so the \""  becomes "" inside the literal"
2014-06-03,18,8,sesuncedu,"The early drafts of turtle allowed for """"""I am a string ending in double-quote """""""", which worked on some parsers and not on others"
2014-06-03,18,10,sesuncedu,unless I have it backwards :)
2014-06-03,18,11,jbalnit,yeah thats painful
2014-06-03,18,11,sesuncedu,The description for STRING_LITERAL_LONG_QUOTE reads: '''
2014-06-03,18,11,sesuncedu,"The characters between the outermost '""""""'s are taken, with numeric and string escape sequences unescaped, to form the unicode string of a lexical form."
2014-06-03,18,11,sesuncedu,''''
2014-06-03,18,12,jbalnit,"right, ok"
2014-06-03,18,13,jbalnit,i wonder why it needs to support escaped quotes
2014-06-03,18,13,jbalnit,"i guess to support triple quotes hehe """"""string inside a string -> """"\""x""""\"""""""""
2014-06-03,18,14,sesuncedu,
2014-06-03,18,14,dc_swig_,B: http://lists.w3.org/Archives/Public/public-rdf-comments/2014Feb/0018.html from sesuncedu
2014-06-03,18,16,jbalnit,what is the relevance of \u0061?
2014-06-03,18,17,sesuncedu,lowercase letter a
2014-06-03,18,18,jbalnit,"why not just write ""a""?"
2014-06-03,18,18,sesuncedu,"Testing escapes, I think"
2014-06-03,18,19,jbalnit,ahh
2014-06-03,18,20,jbalnit,thanks sesuncedu
2014-06-03,18,21,sesuncedu,np
2014-06-03,19,14,Guest63417,Guest63417 is now known as gurke
2014-06-03,19,50,,
2014-06-03,19,50,DanC,hmm... looks familiar; I think I've been using it at home; just not at work
2014-06-03,19,55,sesuncedu,"DanC: aquamacs 3.0a is based on 24 if that explains the pdf - er, deja vu"
2014-06-03,19,55,DanC,sounds like an osx thing. I'm using linux
2014-06-03,19,58,sesuncedu,maybe spelling emacs with a silent x then
2014-06-03,20,10,wu_,"i think Github's editor ""Atom"" is open now, not sure how you are supposed to run Go/sh/JAVA/.. code within it"
2014-06-03,20,13,DanC,harrumph. it looks like emacs doctest mode has bit-rotted (http://ed.loper.org/projects/doctestmode/ )
2014-06-03,20,28,wu_,LDP-testsuite4j Downloading deps 45+ mins now
2014-06-03,20,32,DanC,emacs debugger documentation... leaves something to be desired
2014-06-03,20,33,DanC,exhaustive enumeration where what I need is successive elaboration
2014-06-03,20,33,wu_,imperfect-world assumption proved again?
2014-06-03,20,34,DanC,"ah... I was using the wrong debugger. edebug-defun is more what I expected. (stack overflow to the rescue, once again http://stackoverflow.com/questions/3257480/how-to-debug-elisp )"
2014-06-03,20,34,wu_,getting server X to work with Cimba must be an order of magnitude harder than merely broswwsable in tabuallator
2014-06-03,20,45,jbalnit,"DanC, i think a lot of emacs docs are like that :-p"
2014-06-03,20,45,DanC,I think a lot of docs are like that
2014-06-03,20,45,DanC,never mind emacs
2014-06-03,20,46,DanC,"""oh, you want to use the documentation to learn to do typical things? how quaint"""
2014-06-03,20,47,DanC,"""we expect our users to study our architecture before, well, *using* our software"""
2014-06-03,20,55,sesuncedu,I remember adding clickable hyperlinks to an early fork of emacs that supported x-windows; probably in '88 or '89 .  Didn't help much
2014-06-03,20,55,jbalnit,"DanC, tbh, i think the built-in help system is great for funcs/variables, but when you're trying to figure out a new package or something it's a pain"
2014-06-03,20,56,sesuncedu,epoch! I could not find the name
2014-06-03,20,57,rszeno,"C-h p, is not a big deal"
2014-06-03,21,0,sesuncedu,M-x elisp-index-search
2014-06-03,21,1,sesuncedu,But only useful if you know what you need to know first
2014-06-03,21,2,rszeno,one can use regex appropos
2014-06-03,21,4,sesuncedu,I don't think that searches the docs?
2014-06-03,21,4,sesuncedu,Just the symbols
2014-06-03,21,6,rszeno,"C-h a, then apropos, :) how it look?"
